Contaminant,Commodity,Contaminant Level Type,Level,Reference,Link to Reference,Notes
" Aldrin & Dieldrin"," Alfalfa"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Animal feed, processed"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Artichokes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Asparagus"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Bananas"," Action Level"," 0.02 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Beet tops (garden and sugar)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Beets (garden and sugar)"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Broccoli"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Brussel sprouts"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Bulb vegetables"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Animal feed, processed"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Apples"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Asparagus"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Avocadoes"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Beans"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Brassica�(cole) leafy vegetables (except broccoli raab, and rape greens)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Carrots"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Benzene Hexachloride (BHC)"," Celery"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Cabbage"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
